"Term ID","Name","Vocab machine name","Count","Approval status","Mindat ID","Term Flattened","Geolocation"
"47938","Actinolite Occurrence, Norland, Kawartha Lakes","locality_data","5","Approved","219580","Actinolite Occurrence, Norland, Kawartha Lakes, Ontario, Canada","
  
  
  44.7408333333, -78.7944444444

"
"71955","Acton Quarry, Parker Mountain, Acton, Los Angeles County","locality_data","1","Approved","211188","Acton Quarry, Parker Mountain, Acton, Los Angeles County, California, United States of America","
  
  
  34.46999399999999, -118.19674179999998

"
"47939","Adam Heber Mine, Neustädtel, Schneeberg, Erzgebirge","locality_data","79","Approved","22713","Adam Heber Mine, Neustädtel, Schneeberg, Erzgebirge, Saxony, Germany","
  
  
  50.5755, 12.61315

"
"74671","Adamant Mountains, Revelstoke","locality_data","1","Approved","1","Adamant Mountains, Revelstoke, British Columbia, Canada","
  
  
  51.75715156736372, -117.93878140237877

"
"47940","Adamello Massif,  Brescia Province","locality_data","49","Approved","29480","Adamello Massif,  Brescia Province, Lombardy, Italy","
  
  
  45.5415526, 10.2118019

"
"47941","Adami #2 Mine, Plaka, Lavrion District","locality_data","163","Approved","8008","Adami #2 Mine, Plaka, Lavrion District, Attiki Prefecture, Greece","
  
  
  37.760252, 24.029473

"
"47942","Adami Mine, Plaka, Lavrion District","locality_data","25","Approved","1","Adami Mine, Plaka, Lavrion District, Attiki Prefecture, Greece","
  
  
  37.75458830000001, 24.031510300000036

"
"67778","Adams Mine, Eureka District, San Juan County","locality_data","22","Approved","3674","Adams Mine, Eureka District, San Juan County, Colorado, United States of America","
  
  
  37.8987908, -107.6440566

"
"47943","Adams Mine, Hiddenite, Alexander County","locality_data","4","Approved","99817","Adams Mine, Hiddenite, Alexander County, North Carolina, United States of America","
  
  
  35.9028231, -81.10071479999999

"
"62339","Adamuša Mine, Ljubija, Prijedor, Banja Luka","locality_data","1","Approved","213051","Adamuša Mine, Ljubija, Prijedor, Banja Luka, Srpska Republika, Bosnia and Herzegovina","
  
  
  44.873567827407, 16.895026680623005

"
"47946","Adaro Mine, Linares, Jaén","locality_data","1","Approved","1","Adaro Mine, Linares, Jaén, Andalusia, Spain","
  
  
  38.09690980000001, -3.6369803000000047

"
"73959","Adda River Gold Alluvials, Medolago, Bergamo Province","locality_data","4","Approved","1","Adda River Gold Alluvials, Medolago, Bergamo Province, Lombardy, Italy","
  
  
  45.669687, 9.493619299999978

"
"80967","Addis Ababa","locality_data","3","Approved","234147","Addis Ababa, Ethiopia","
  
  
  9.019220599999999, 38.7156475

"
"47952","Adeghoual, Mibladen, Midelt Province","locality_data","3","Approved","108648","Adeghoual, Mibladen, Midelt Province, Drâa-Tafilalet Region, Morocco","
  
  
  32.730555555556, -4.6966666666667

"
"75849","Adel, Lake County","locality_data","2","Approved","17950","Adel, Lake County, Oregon, United States of America","
  
  
  42.17758, -119.8981

"
"47947","Adelaida Mine, San Antonio District, Vallenar, Huasco Province","locality_data","4","Approved","188434","Adelaida Mine, San Antonio District, Vallenar, Huasco Province, Atacama Region, Chile","
  
  
  -27.5660558, -70.050314

"
"47948","Adelaide Copper Mine, Montecute, Mount Lofty Ranges","locality_data","2","Approved","1","Adelaide Copper Mine, Montecute, Mount Lofty Ranges, South Australia, Australia","
  
  
  -34.8932292, 138.7350975

"
"68866","Adelaide Level, East Arngill, Muker","locality_data","3","Approved","1","Adelaide Level, East Arngill, Muker, North Yorkshire, United Kingdom","
  
  
  54.324041, -2.074918100000001

"
"47949","Adelaide Mine, Dundas, West Coast Municipality","locality_data","556","Approved","176","Adelaide Mine, Dundas, West Coast Municipality, Tasmania, Australia","
  
  
  -41.8852777778, 145.428888889

"
"47950","Adelaide Mine, Gold Run, Humboldt County","locality_data","1","Approved","59702","Adelaide Mine, Gold Run, Humboldt County, Nevada, United States of America","
  
  
  40.805092768481, -117.49462079392

"
