mineral_id,ion
dd143d02-5955-40e2-9ec3-bb614c449570,Ba
dd143d02-5955-40e2-9ec3-bb614c449570,Si
8f66d919-306b-45b0-ba4d-87c1a7472d4d,Ba
e288d318-e1c9-47b9-9285-a190f00e07ce,Ba
fcff3e8e-6a2f-4207-8666-4b6f8754e7f9,Ba
7aa6cf46-c0b0-4a22-9720-02ee3f405d5f,Ba
7aa6cf46-c0b0-4a22-9720-02ee3f405d5f,Ca
a49a261e-3fd4-45a3-a096-b9038db86ab7,Ba
c6f7ffb4-c075-4c0d-a456-87c87735ea48,Ba
0e2e9690-a479-47a8-885c-66fadd1cd0b5,Ce
aa8aaf4e-c4e7-4ba0-a2d0-206620d977cd,La
c19e3167-58d9-4c9d-80ba-fc9b82d440bd,Nd
5f3dd7ea-15b1-4513-afcd-50604f64910c,Y
93e530c5-1ca2-4249-953f-1fc6b9766db7,Ba
93e530c5-1ca2-4249-953f-1fc6b9766db7,Ti
93e530c5-1ca2-4249-953f-1fc6b9766db7,Fe
6b86f1f0-e2ab-4b05-bada-3c95a6b73c3c,Ba
6b86f1f0-e2ab-4b05-bada-3c95a6b73c3c,Ti
6b86f1f0-e2ab-4b05-bada-3c95a6b73c3c,Si
c252ac32-2b11-48a1-89c0-a94a2505ac8d,Ba
c252ac32-2b11-48a1-89c0-a94a2505ac8d,Ti
c252ac32-2b11-48a1-89c0-a94a2505ac8d,Si
c252ac32-2b11-48a1-89c0-a94a2505ac8d,V
43d22a40-59a2-4da1-abbc-f9b495256f87,Ba
43d22a40-59a2-4da1-abbc-f9b495256f87,U
247b69a4-77f4-42c3-b124-0460ee6fb4b5,Ba
247b69a4-77f4-42c3-b124-0460ee6fb4b5,V
247b69a4-77f4-42c3-b124-0460ee6fb4b5,Si
9c4ad224-1beb-4e15-9198-9f76e11c2b65,Ba
9c4ad224-1beb-4e15-9198-9f76e11c2b65,Zr
6a1ba7e9-cf4f-42f9-a82b-adef22a4c9ef,Be
6a1ba7e9-cf4f-42f9-a82b-adef22a4c9ef,As
c8a3e3cc-cdc7-4bab-b3e5-b79e340708be,Cu
4509eb14-2fd9-4531-8b3d-c3550261172e,Zn
3415302f-fe05-42c9-829f-f5cd4824270d,Be
3415302f-fe05-42c9-829f-f5cd4824270d,OH
8666f59b-64f7-41d9-85a0-47f8867ad798,Ce
fc7c717d-d823-4bd4-b9db-fa75792a4487,La
824b228e-5078-4be0-84ba-205e4f41beab,Be
824b228e-5078-4be0-84ba-205e4f41beab,B
688fbe06-72bd-4a87-851d-d4c2ec5e8080,Be
8dbda1a6-6bd8-41e0-8b34-a704e9a0a2a0,Be
a9f2dc20-f490-41c7-a891-b780028ed973,Be
cbdb867a-fb6d-4545-a959-b3678bc86021,Be
514a8c55-4308-4b61-b6f0-55b2494056d5,Be
b20b209b-5cda-47e4-a209-dc38338b79bd,Be
3063110b-a97c-41cf-9ef7-b296ba980f43,Ca
fccc9230-b795-4abd-b68c-65a14a9152c8,Ca
fccc9230-b795-4abd-b68c-65a14a9152c8,Mg
ad43dcec-1d67-4080-8716-4e04eb8c2738,Fe
af7fba8a-2eb0-486d-af89-ed74204e7b76,Na
af7fba8a-2eb0-486d-af89-ed74204e7b76,Ca
7a0b6319-48ee-4340-ab74-ea05967e5397,Na
dfd09e13-3e14-48be-90b5-b8b44c0ab41b,Ca
c8cdb88d-e1e2-41c5-80f0-74338c9954db,NH_4_
c8cdb88d-e1e2-41c5-80f0-74338c9954db,H_2_PO_4_
b206e188-fb26-415a-a3c7-12a5eb19bac0,Cs
2a52ab91-69b9-4d7b-991b-4e1441389042,Bi
fdee8ed1-e2be-42ac-8ca3-6836e27a060c,Bi
fdee8ed1-e2be-42ac-8ca3-6836e27a060c,Cl
9e8724fd-cf90-4250-aabf-e872a00b396c,Bi
2fa91a81-324e-403e-874f-5f7f89b1c3f7,Bi
28e97200-7729-41a0-b4b5-ce8edde88f7b,Bi
28e97200-7729-41a0-b4b5-ce8edde88f7b,Pd
6e11e153-000d-4b08-ab0e-5dbc9c214432,Bi
c856b944-1cf7-4a48-9095-fc1a17da26fd,Bi
6d46bfc0-c37f-4826-a211-226b6f68a810,Bi
b4b1265a-89a5-4f2d-ba57-239988f1fcb6,Bi
efaf9a1d-98c2-41a6-bc0c-2cf55133de3a,Bi
dc045c25-6cb8-4805-8600-97bed0c18ba5,Bi
59b5314a-aa82-4c6d-92b3-d15a75f8fb94,Bi
59b5314a-aa82-4c6d-92b3-d15a75f8fb94,S
53e39647-77dc-4fcf-84c1-30e568c91308,Bi
7104b3c6-5f37-48f1-82fc-5b97739da3f4,Bi
ea285c43-dc03-4c44-9405-97b97d8f8d6a,Bi
ea285c43-dc03-4c44-9405-97b97d8f8d6a,Fe
f9fec879-82c9-4706-bbfa-2354b29dcc33,Bi
d0fe488f-45db-4353-a240-cc78bb6a0fe7,Bi
82da5ae9-6016-4328-b121-76d48862ba88,Bi
821e758c-def4-4e66-ad57-c01fdc09aefb,Bi
0d184831-882a-45c1-87e9-a30a3db0a892,Bi
b2eb8ba1-e8e9-4b86-a5e1-57f3d773e675,Bi
5d4dc67a-f577-4e26-a77f-dfd61c21b657,Sn
5d4dc67a-f577-4e26-a77f-dfd61c21b657,Al
29bc1f5b-17f0-4172-91b2-0c55d975a768,Fe
29bc1f5b-17f0-4172-91b2-0c55d975a768,Sn
c965c0fb-f21a-4eb6-a179-a8b26d856923,Fe
c965c0fb-f21a-4eb6-a179-a8b26d856923,Zr
f0a168ba-eb7a-43d0-b452-00d4ddfe1974,B
65053be6-0eca-45df-970f-983176e332c1,B
65053be6-0eca-45df-970f-983176e332c1,Al
65053be6-0eca-45df-970f-983176e332c1,Si
b801c7af-ffc4-4f1c-ae3f-d0137f40c36d,B
b801c7af-ffc4-4f1c-ae3f-d0137f40c36d,CO_2_
910947fd-5f26-4595-ab99-3c20d7838faf,B
763dbfc3-4546-4923-a508-443b9d52ae3c,B
5bb687c4-213a-4ac8-9e67-47eceeaf9314,B
663adef6-ab5f-4d95-89ed-c7f8f08ebd2a,Co
663adef6-ab5f-4d95-89ed-c7f8f08ebd2a,Zn
68a10f60-3627-4434-8fd1-f1f0b1f74dc9,Ba
c4d00daa-b0e3-497b-bc43-bcf4d1a9e88a,Sr
cfc884fd-9ab5-42b0-bf0d-b03abbaf717b,Ce
b7e432e8-0275-4c6a-a9ed-b79b238af532,La
d5602623-b44a-4010-883d-72c7ea5161b2,Y
b2bb6bc8-2485-4668-8d5a-5574e63f0df4,Br
1c13f058-4dfa-4c10-88a4-7c1ff8b37e6e,Br
